username	time	date	city	tweet	flixbus	bahn	blablacar	country
Telekom_hilft	14:33:41	18.11.2017	Bonn	@Atomzwieback Vielen Dank ist auch angekommen ^db	0	1	0	 Deutschland
gokkel_	14:33:42	18.11.2017		RT @anna_IIna: Zwei Promille: 35-jähriger Asylwerber bespuckt DB-Mitarbeiter und schlägt Bundespolizisten gegen den Kopf. Kurze Ge… 	0	1	0	
Bundesliga_club	14:34:07	18.11.2017		"➡ Drittliga-Spiel verschoben - Bahn fuhr Fußball-Fans in falsche Richtung! ⬅
Hier KLICKEN ▶ https://t.co/z5gCIiU0Hy… https://t.co/CVwFFIuSxF"	0	1	0	Deutschland
NFLdeutsch	14:34:20	18.11.2017		RT @Jenson4Glubb: @Schmiso geile Vorstellung heute. danke, so wie früher bei #rannfl #glubb #fcn ... mit Zug zum Korb ... 😉	0	1	0	Deutschland
Dranske1	14:34:25	18.11.2017		Welche eine wertvolle Kultur, die darüber hinaus noch enormen Respekt älteren Menschen gegenüber beinhaltet. https://t.co/vvkywbq9hh	0	1	0	
ScullyDi	14:34:41	18.11.2017	Hamburg	"Kochduell S-Bahn special
Das nächste große Ding bei vox? https://t.co/CoCAVQxx8a"	0	1	0	 Deutschland
Alesiste	14:35:00	18.11.2017	Linz	RT @anna_IIna: Zwei Promille: 35-jähriger Asylwerber bespuckt DB-Mitarbeiter und schlägt Bundespolizisten gegen den Kopf. Kurze Ge… 	0	1	0	 Austria
metronom4me	14:35:01	18.11.2017		82020 Bremen Hbf → Hamburg Hbf hat in Buchholz(Nordheide) (planmäßig 14:19) +14 min. Grund: Überholung durch einen anderen Zug .	0	1	0	Uelzen, Niedersachsen, Germany
PauleHasi13	14:35:05	18.11.2017		RT @Einzelfallinfos: #Nettetal: Zur Abschiebung ausgeschriebener Marokkaner hat bereits in #Österreich, der #Schweiz,den #Niederlanden u… 	0	1	0	
ShananJanie	14:35:07	18.11.2017	Arizona	Unfall in Hamburg - Fahrgäste sehen zufällig Jugendlichen auf U-Bahn-Dach liegen - schwer verletzt	0	1	0	 USA
oliverg	14:35:24	18.11.2017		@Luisante @Lufthansa_DE Und verbraucht mehr CO2 als ne S-Bahn auf grünem Strom ;)	0	1	0	Germany
Olaf_Kutzmutz	14:36:05	18.11.2017		"Ein Erste-Klasse-Abteil, aber für Grundschüler
#wasfehlt #db"	0	1	0	
SparVolltreffer	14:36:11	18.11.2017		Ebay Herrenuhren Casio Digitaluhr DB-360N-1AEF Armbanduhr Herren Edelstahl Silber watch NEU: EUR…… https://t.co/V3FQHiEkVl	0	1	0	Germany
Passion_FM	14:36:13	18.11.2017		Unfall in Hamburg - Fahrgäste sehen zufällig Jugendlichen auf U-Bahn-Dach liegen - schwer verletzt… https://t.co/a7rkui5qSg	0	1	0	Korbach
DomeniktvNEWS	14:36:16	18.11.2017		Unfall in Hamburg - Fahrgäste sehen zufällig Jugendlichen auf U-Bahn-Dach liegen - schwer verletzt https://t.co/VTjEBxeR60	0	1	0	Deutschland
hdsvivs	14:36:18	18.11.2017		ICH HASSE DIE BAHN SO SEJR	0	1	0	•|i|•Øi+!].[
